Status,Status (Successful),Qty,Amount,ship-city,ship-state,ship-postal-code
Delivered,True,1,534.0,MUMBAI,MAHARASHTRA,400097.0
Delivered,True,1,475.0,PUNE,MAHARASHTRA,411006.0
Delivered,True,1,744.0,CHENNAI,TAMIL NADU,600088.0
Delivered,True,1,626.0,NAGPUR,MAHARASHTRA,440013.0
Delivered,True,1,449.0,NAGAUR,RAJASTHAN,342037.0
Delivered,True,1,391.0,NEYYATTINKARA,KERALA,695122.0
Delivered,True,1,399.0,CHITTOOR,ANDHRA PRADESH,517001.0
Delivered,True,1,249.0,COIMBATORE,TAMIL NADU,641049.0
Delivered,True,1,1099.0,MUMBAI,MAHARASHTRA,400012.0
Delivered,True,1,474.0,BENGALURU,KARNATAKA,560087.0
Delivered,True,1,413.0,THANE (W),MAHARASHTRA,400601.0
Delivered,True,1,495.0,CHENNAI,TAMIL NADU,600125.0
Delivered,True,1,459.0,MYSURU,KARNATAKA,570023.0
Delivered,True,1,1238.0,NEW DELHI,DELHI,110052.0
Delivered,True,1,0.0,NOIDA,UTTAR PRADESH,201304.0
Delivered,True,1,1432.0,KOTTAYAM,KERALA,686020.0
Delivered,True,1,725.0,DHARMADOM,KERALA,670661.0
Delivered,True,1,499.0,NAGPUR,MAHARASHTRA,440007.0
Delivered,True,1,499.0,NAGPUR,MAHARASHTRA,440007.0
Delivered,True,1,783.0,HYDERABAD,HYDERABAD,500075.0
Delivered,True,1,653.0,COIMBATORE,TAMIL NADU,641045.0
Delivered,True,1,0.0,BELAGAVI,KARNATAKA,590006.0
Delivered,True,1,1186.0,GURUGRAM,HARYANA,122017.0
Delivered,True,1,362.0,HYDERABAD,HYDERABAD,500081.0
Delivered,True,1,1186.0,HYDERABAD,HYDERABAD,500012.0
Delivered,True,1,1213.0,HYDERABAD,HYDERABAD,500012.0
Delivered,True,1,922.0,HYDERABAD,HYDERABAD,500012.0
Delivered,True,1,685.0,BILASPUR,CHHATTISGARH,495001.0
Delivered,True,1,788.0,PUDUCHERRY,PUDUCHERRY,605110.0
Delivered,True,1,791.0,GHAZIABAD,UTTAR PRADESH,201010.0
Delivered,True,1,696.0,GUWAHATI,ASSAM,781007.0
Delivered,True,1,685.0,BARASAT,WEST BENGAL,700129.0
Delivered,True,1,517.0,MEERUT CANTT,UTTAR PRADESH,250001.0
Delivered,True,1,1092.0,ALIGARH,UTTAR PRADESH,202001.0
Delivered,True,1,329.0,PUNE,MAHARASHTRA,411023.0
Delivered,True,1,635.0,VADODARA,GUJARAT,390006.0
Delivered,True,1,487.0,MUMBAI,MAHARASHTRA,400016.0
Delivered,True,1,582.0,COIMBATORE,TAMIL NADU,641027.0
Delivered,True,1,517.0,NAGPUR,MAHARASHTRA,440024.0
Delivered,True,1,0.0,PATNA,BIHAR,800013.0
Delivered,True,1,493.0,KOLKATA,WEST BENGAL,700010.0
Delivered,True,1,399.0,DEORIA,UTTAR PRADESH,274001.0
Delivered,True,1,1221.0,MUMBAI,MAHARASHTRA,400017.0
Delivered,True,1,280.0,BENGALURU,KARNATAKA,560059.0
Delivered,True,1,1115.0,HYDERABAD,HYDERABAD,500084.0
Delivered,True,1,499.0,"DURGANAGAR ,NIMTA SOUTH",WEST BENGAL,700049.0
Delivered,True,1,458.0,AGARTALA,TRIPURA,799006.0
Delivered,True,1,329.0,ERNAKULAM,KERALA,682017.0
Delivered,True,1,399.0,SIKAR,RAJASTHAN,332001.0
Delivered,True,1,759.0,GURUGRAM,HARYANA,122017.0
